страна,кол_во_новых_случаев
World,4057134.0
Europe,1473761.0
European Union,1182869.0
Asia,1124382.0
South America,832687.0
North America,542574.0
Brazil,528736.0
United States,448300.0
India,434131.0
France,266069.0
